,V1,V2,V3,V4,V5,V6,V7,V8
RMSE,0.0957,0.0651,0.0634,0.0778,0.0399,0.0672,0.076,0.0726
edf,1644,8121,4102,840,6527,569,571,682
logL,-19696,-11331,-11469,-12620,-6973,-12960,-12838,-11851
AIC,-42681,-38904,-31143,-26921,-27000,-27058,-26817,-25066
BIC,-46354,-57048,-40307,-28797,-41582,-28329,-28093,-26590
RMSE,0.0929,0.0631,0.0718,0.0807,0.0347,0.0752,0.0795,0.0748
edf,567,2793,520,300,3489,217,197,269
logL,-4803,-3331,-3621,-3756,-1116,-3846,-3855,-3556
AIC,-10739,-12248,-8282,-8112,-9210,-8127,-8104,-7649
BIC,-11888,-17905,-9335,-8719,-16277,-8566,-8503,-8194
RMSE,0.0914,0.0625,0.0919,0.1016,0.065,0.0964,0.0981,0.0997
edf,658,3213,750,360,1918,154,236,152
logL,-5226,-4200,-6812,-5299,-3078,-4995,-5136,-5228
AIC,-11768,-14827,-15124,-11319,-9992,-10299,-10744,-10760
BIC,-13089,-21276,-16629,-12041,-13842,-10608,-11217,-11065
RMSE,0.0947,0.0633,0.0812,0.0935,0.0561,0.0872,0.0907,0.0888
edf,949,4581,1692,540,3153,294,367,315
logL,-7930,-6143,-7780,-7591,-4312,-7583,-7359,-6828
AIC,-17758,-21448,-18944,-16262,-14930,-15753,-15452,-14286
BIC,-19663,-30643,-22340,-17346,-21259,-16344,-16188,-14918
RMSE,0.0906,0.0635,0.0602,0.0685,0.0422,0.0644,0.0696,0.0688
edf,756,3801,750,360,2404,128,191,191
logL,-10394,-4517,-5426,-5361,-3252,-5627,-5551,-5187
AIC,-22299,-16636,-12353,-11442,-11312,-11511,-11483,-10756
BIC,-23988,-25128,-14028,-12246,-16683,-11797,-11910,-11183
