,Li-Lee,FDM,STAR1,STAR2,VAR,SVAR1,SVAR2,SWVAR,,,,,,,,,,,,,
RMSFE,0.2533 ,0.2996 ,0.2538 ,0.3158 ,0.2661 ,0.2257 ,0.2249 ,0.2178 ,,,,,,,,,,,,,
sigma,0.0377 ,0.1152 ,0.0634 ,0.0654 ,0.0575 ,0.0504 ,0.0515 ,0.0465 ,,,,,,,,,,,,,
max,0.3324 ,0.5818 ,0.3510 ,0.4370 ,0.3465 ,0.3180 ,0.3195 ,0.2913 ,,,,,,,,,,,,,
min,0.2055 ,0.0615 ,0.1507 ,0.2171 ,0.1389 ,0.1348 ,0.1370 ,0.1318 ,,,,,,,,,,,,,
MAFE,0.1956 ,0.2295 ,0.1733 ,0.2275 ,0.1977 ,0.1669 ,0.1647 ,0.1530 ,,,,,,,,,,,,,
RMSFE,0.3075 ,0.3416 ,0.3747 ,0.2631 ,0.2457 ,0.2378 ,0.2448 ,0.2347 ,,,,,,,,,,,,,
sigma,0.1180 ,0.1687 ,0.0577 ,0.0945 ,0.0675 ,0.0760 ,0.0790 ,0.0706 ,,,,,,,,,,,,,
max,0.4617 ,0.7238 ,0.4424 ,0.3998 ,0.3016 ,0.3399 ,0.3394 ,0.3135 ,,,,,,,,,,,,,
min,0.1842 ,0.0776 ,0.3077 ,0.1761 ,0.1338 ,0.1704 ,0.1697 ,0.1640 ,,,,,,,,,,,,,
MAFE,0.2252 ,0.2567 ,0.2872 ,0.1854 ,0.1731 ,0.1658 ,0.1686 ,0.1566 ,,,,,,,,,,,,,
RMSFE,0.3838 ,0.3917 ,0.3191 ,0.3168 ,0.2705 ,0.2905 ,0.2933 ,0.2804 ,,,,,,,,,,,,,
sigma,0.1396 ,0.1855 ,0.0678 ,0.0839 ,0.0952 ,0.0769 ,0.0771 ,0.0665 ,,,,,,,,,,,,,
max,0.5993 ,0.9552 ,0.4248 ,0.3998 ,0.4091 ,0.4064 ,0.4044 ,0.3856 ,,,,,,,,,,,,,
min,0.2118 ,0.0633 ,0.2415 ,0.1761 ,0.1848 ,0.1843 ,0.1792 ,0.2027 ,,,,,,,,,,,,,
MAFE,0.2618 ,0.2674 ,0.2100 ,0.2303 ,0.1907 ,0.2008 ,0.2006 ,0.1871 ,,,,,,,,,,,,,
RMSFE,0.2588 ,0.2920 ,0.2157 ,0.3129 ,0.2646 ,0.2281 ,0.2269 ,0.2141 ,,,,,,,,,,,,,
sigma,0.0406 ,0.1143 ,0.0227 ,0.0795 ,0.0389 ,0.0299 ,0.0303 ,0.0381 ,,,,,,,,,,,,,
max,0.3232 ,0.5601 ,0.2426 ,0.4370 ,0.3046 ,0.2487 ,0.2506 ,0.2530 ,,,,,,,,,,,,,
min,0.2126 ,0.0559 ,0.1830 ,0.2171 ,0.2032 ,0.1727 ,0.1713 ,0.1513 ,,,,,,,,,,,,,
MAFE,0.2052 ,0.2253 ,0.1503 ,0.2253 ,0.2055 ,0.1742 ,0.1719 ,0.1549 ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
